,population,gdp,carbon_intensity_elec,electricity_demand,electricity_generation,fossil_electricity,fossil_share_elec,greenhouse_gas_emissions,net_elec_imports,per_capita_electricity,renewables_electricity,gdp_per_capita,clusters,cluster
177,970986.0,25959809024.0,490.137,19.77,19.77,19.77,100.0,9.69,0.0,20360.748,0.0,26735.51320410387,0,pink
178,1040545.0,30196430848.0,490.206,20.43,20.42,20.42,100.0,10.01,0.01,19624.332,0.0,29019.82215858036,0,pink
179,1110352.0,34434658304.0,489.977,21.26,21.45,21.45,100.0,10.51,-0.19,19318.199,0.0,31012.38013170598,0,pink
180,1179460.0,37946552320.0,489.863,21.38,21.21,21.21,100.0,10.39,0.17,17982.805,0.0,32172.818340596543,0,pink
181,1213655.0,42648158208.0,489.951,22.56,22.39,22.39,100.0,10.97,0.17,18448.406,0.0,35140.26490889091,0,pink
182,1212086.0,46914961408.0,489.948,23.0,22.88,22.88,100.0,11.21,0.12,18876.549,0.0,38705.96756995791,0,pink
183,1224948.0,48471822336.0,489.91,23.13,23.29,23.29,100.0,11.41,-0.16,19013.053,0.0,39570.51428795345,0,pink
184,1261683.0,51083276288.0,490.148,24.38,24.36,24.36,100.0,11.94,0.02,19307.545,0.0,40488.20209830837,0,pink
185,1311142.0,53661769728.0,489.661,25.63,25.63,25.62,99.961,12.55,0.0,19547.844,0.01,40927.504212358384,0,pink
186,1362157.0,56045613056.0,489.918,26.77,26.78,26.77,99.963,13.12,-0.01,19659.996,0.01,41144.75281190054,0,pink
187,1409668.0,59105439744.0,489.743,26.79,26.81,26.8,99.963,13.13,-0.02,19018.662,0.01,41928.62414696226,0,pink
188,1456844.0,61359722496.0,489.811,27.52,27.48,27.47,99.964,13.46,0.04,18862.693,0.01,42118.25184851638,0,pink
189,1487346.0,62559305728.0,489.921,27.98,27.78,27.77,99.964,13.61,0.2,18677.564,0.01,42061.0306734277,0,pink
190,129193336.0,200830000000.0,572.966,14.87,14.87,13.93,93.679,8.52,0.0,115.099,0.94,1554.4919437640344,0,pink
191,131670488.0,213178000000.0,561.928,16.39,16.39,15.41,94.021,9.21,0.0,124.477,0.98,1619.0264290658663,0,pink
192,134139824.0,226308000000.0,552.841,17.6,17.6,16.55,94.034,9.73,0.0,131.206,1.05,1687.1052402752518,0,pink
193,136503216.0,242360000000.0,552.448,18.59,18.59,17.47,93.975,10.27,0.0,136.187,1.12,1775.4893042226931,0,pink
194,138789728.0,260420000000.0,556.75,23.26,23.26,22.05,94.798,12.95,0.0,167.592,1.21,1876.3636455862209,0,pink
195,140912592.0,280327000000.0,555.643,25.43,25.43,24.15,94.967,14.13,0.0,180.466,1.28,1989.36799061932,0,pink
196,142628832.0,303335000000.0,568.205,29.25,29.25,27.86,95.248,16.62,0.0,205.078,1.39,2126.743911076829,0,pink
197,144135936.0,327171000000.0,576.857,29.21,29.21,28.45,97.398,16.85,0.0,202.656,0.76,2269.878068436729,0,pink
198,145421328.0,349580000000.0,574.257,32.32,32.32,31.36,97.03,18.56,0.0,222.251,0.96,2403.9114812649764,0,pink
199,146706816.0,372835000000.0,583.975,35.07,35.07,34.6,98.66,20.48,0.0,239.048,0.47,2541.3611321235408,0,pink
200,148391136.0,400257000000.0,574.435,38.49,38.49,37.65,97.818,22.11,0.0,259.382,0.84,2697.3107072918424,0,pink
201,150211008.0,431620000000.0,572.732,41.66,41.66,40.67,97.624,23.86,0.0,277.343,0.99,2873.424562865592,0,pink
202,152090656.0,458683000000.0,577.443,45.84,45.84,44.91,97.971,26.47,0.0,301.399,0.93,3015.852597808507,0,pink
203,154030144.0,486328000000.0,570.943,50.04,50.04,48.94,97.802,28.57,0.0,324.871,1.1,3157.356004289654,0,pink
204,155961312.0,517115000000.0,571.592,54.86,52.59,51.78,98.46,30.06,2.27,337.199,0.81,3315.662027772631,0,pink
205,157830000.0,552395000000.0,555.675,58.97,55.59,54.76,98.507,30.89,3.38,352.214,0.83,3499.936640689349,0,pink
206,159784576.0,591216000000.0,545.805,68.66,64.84,63.57,98.041,35.39,3.82,405.796,1.27,3700.081790122221,0,pink
207,161793968.0,636055000000.0,538.383,73.57,68.91,67.59,98.084,37.1,4.66,425.912,1.32,3931.265224918645,0,pink
208,163683952.0,686522000000.0,540.968,78.74,73.96,72.56,98.107,40.01,4.78,451.846,1.4,4194.192476486638,0,pink
209,264663.0,3452406272.0,697.368,0.76,0.76,0.76,100.0,0.53,0.0,2871.576,0.0,13044.536909201512,0,pink
210,265384.0,3330849792.0,700.0,0.8,0.8,0.8,100.0,0.56,0.0,3014.5,0.0,12551.05730564013,0,pink
211,266467.0,3319030528.0,698.795,0.83,0.83,0.83,100.0,0.58,0.0,3114.832,0.0,12455.69067839545,0,pink
212,267509.0,3362359808.0,701.149,0.87,0.87,0.87,100.0,0.61,0.0,3252.227,0.0,12569.146488529355,0,pink
213,268514.0,3369967104.0,700.0,0.9,0.9,0.9,100.0,0.63,0.0,3351.781,0.0,12550.433511846682,0,pink
214,269489.0,3466246144.0,705.263,0.95,0.95,0.95,100.0,0.67,0.0,3525.19,0.0,12862.291759589443,0,pink
215,270436.0,3622055424.0,704.082,0.98,0.98,0.98,100.0,0.69,0.0,3623.778,0.0,13393.392240678017,0,pink
216,271460.0,3642717696.0,700.0,1.0,1.0,1.0,100.0,0.7,0.0,3683.784,0.0,13418.985102777571,0,pink
217,272647.0,3618468352.0,702.97,1.01,1.01,1.01,100.0,0.71,0.0,3704.424,0.0,13271.62357187132,0,pink
218,273801.0,3446882304.0,696.078,1.02,1.02,1.02,100.0,0.71,0.0,3725.333,0.0,12589.00553321573,0,pink
219,274717.0,3418936064.0,701.031,0.97,0.97,0.97,100.0,0.68,0.0,3530.906,0.0,12445.30212546002,0,pink
220,275501.0,3406690048.0,696.97,0.99,0.99,0.99,100.0,0.69,0.0,3593.453,0.0,12365.436234351237,0,pink
221,276207.0,3415680000.0,698.113,1.06,1.06,1.06,100.0,0.74,0.0,3837.701,0.0,12366.377390869891,0,pink
222,276873.0,3412801024.0,705.263,0.95,0.95,0.95,100.0,0.67,0.0,3431.176,0.0,12326.232691522828,0,pink
223,277501.0,3416199936.0,690.722,0.97,0.97,0.96,98.969,0.67,0.0,3495.483,0.01,12310.586037527792,0,pink
224,278095.0,3448058880.0,693.878,0.98,0.98,0.97,98.98,0.68,0.0,3523.976,0.01,12398.852478469587,0,pink
225,278660.0,3492872960.0,690.0,1.0,1.0,0.98,98.0,0.69,0.0,3588.603,0.02,12534.532979257878,0,pink
226,279199.0,3525892864.0,683.168,1.01,1.01,0.98,97.03,0.69,0.0,3617.491,0.03,12628.601334532,0,pink
227,279702.0,3516161024.0,680.0,1.0,1.0,0.97,97.0,0.68,0.0,3575.234,0.03,12571.097182000844,0,pink
228,10256489.0,91419115520.0,489.405,31.78,24.54,24.51,99.878,12.01,7.24,2392.632,0.03,8913.295331375093,0,pink
229,10201212.0,94624129024.0,489.389,28.16,23.56,23.53,99.873,11.53,4.6,2309.53,0.03,9275.773214398449,0,pink
230,10135391.0,98263244800.0,489.345,29.76,24.87,24.84,99.879,12.17,4.89,2453.778,0.03,9695.062065193144,0,pink
231,10065881.0,103938000000.0,489.413,30.04,25.03,25.0,99.88,12.25,5.01,2486.618,0.03,10325.772776371983,0,pink
